participant,position,setup,calibration_table,calibration_screen,calibration_loss,calibration_impossible,table_pct,screen_pct,loss_pct,table_share_valid,screen_share_valid,n_figures_used,n_timestamps_total
5530740,standing,remote,slight_issues,no_issue,slight_issues,False,17.03316246469296,18.60445653311016,64.36238100219688,47.79545587976281,52.20454412023719,6,47777
56667891,standing,remote,no_issue,slight_issues,no_issue,False,24.197952929895145,16.85184799149486,58.95019907860999,58.947796059313426,41.052203940686574,6,47948
19646926,standing,remote,slight_issues,slight_issues,slight_issues,False,17.05647800987919,19.15134202225793,63.79217996786288,47.10716633793557,52.89283366206443,6,33605
71182729,standing,remote,slight_issues,no_issue,slight_issues,False,17.16704592723091,17.46556069392449,65.3673933788446,49.56902642362583,50.43097357637417,6,40822
27093216,standing,remote,no_issue,slight_issues,no_issue,False,18.819806992564466,18.060433475715868,63.119759531719666,51.02951269732327,48.97048730267673,6,31598
57836695,standing,remote,no_issue,slight_issues,no_issue,False,10.75988627552339,14.264667872835357,74.97544585164125,42.99731460442057,57.00268539557943,6,38681
58905878,standing,remote,no_issue,slight_issues,no_issue,False,21.93596986817326,18.069679849340865,59.994350282485875,54.83218001223933,45.16781998776067,6,52991
98141657,standing,remote,impossible,no_issue,impossible,True,,,,,,0,0
69455467,standing,remote,impossible,no_issue,impossible,True,,,,,,0,0
40812801,standing,remote,severe_issues,slight_issues,severe_issues,False,12.78006897716036,18.237947085353206,68.98198393748643,41.20208381929866,58.79791618070134,6,41456
63210075,standing,remote,slight_issues,no_issue,slight_issues,False,12.870856265199027,15.520286701651095,71.60885703314987,45.334054638896404,54.665945361103596,6,39055
89018981,standing,remote,severe_issues,no_issue,severe_issues,False,17.071452408320663,22.726092921502467,60.20245467017687,42.895742103792045,57.104257896207955,6,26952
96939853,standing,remote,no_issue,slight_issues,no_issue,False,18.186960478099408,22.790880696490493,59.022158825410095,44.382427079582286,55.617572920417714,6,40639
71663905,standing,remote,no_issue,slight_issues,no_issue,False,16.037927187911976,17.054558361220973,66.90751445086705,48.46395464644143,51.53604535355857,6,39403
30356638,standing,remote,no_issue,slight_issues,no_issue,False,15.722765363128492,20.932262569832403,63.34497206703911,42.893884549437985,57.106115450562015,6,57264
98752467,standing,remote,slight_issues,no_issue,slight_issues,False,12.903389744371601,22.564415307211465,64.53219494841693,36.3805702822754,63.6194297177246,6,39330
67056507,standing,remote,no_issue,no_issue,no_issue,False,16.909769728451174,19.09421886232405,63.99601140922478,46.96637897719954,53.03362102280046,6,43111
81652266,standing,remote,impossible,no_issue,impossible,True,,,,,,0,0
